City,Colors Reported,Shape Reported,State,Time
Ithaca,,TRIANGLE,NY,6/1/1930 22:00
Willingboro,,OTHER,NJ,6/30/1930 20:00
Holyoke,,OVAL,CO,2/15/1931 14:00
Abilene,,DISK,KS,6/1/1931 13:00
New York Worlds Fair,,LIGHT,NY,4/18/1933 19:00
Valley City,,DISK,ND,9/15/1934 15:30
Crater Lake,,CIRCLE,CA,6/15/1935 0:00
Alma,,DISK,MI,7/15/1936 0:00
Eklutna,,CIGAR,AK,10/15/1936 17:00
Hubbard,,CYLINDER,OR,6/15/1937 0:00
Fontana,,LIGHT,CA,8/15/1937 21:00
Waterloo,,FIREBALL,AL,6/1/1939 20:00
Belton,RED,SPHERE,SC,6/30/1939 20:00
Keokuk,,OVAL,IA,7/7/1939 2:00
Ludington,,DISK,MI,6/1/1941 13:00
Forest Home,,CIRCLE,CA,7/2/1941 11:30
Los Angeles,,,CA,2/25/1942 0:00
Hapeville,,,GA,6/1/1942 22:30
Oneida,,RECTANGLE,TN,7/15/1942 1:00
Bering Sea,RED,OTHER,AK,4/30/1943 23:00
Nebraska,,DISK,NE,6/1/1943 15:00
,,,LA,8/15/1943 0:00
,,LIGHT,LA,8/15/1943 0:00
Owensboro,,RECTANGLE,KY,10/15/1943 11:00
Wilderness,,DISK,WV,1/1/1944 10:00
San Diego,,CIGAR,CA,1/1/1944 12:00
Wilderness,,DISK,WV,1/1/1944 12:00
Clovis,,DISK,NM,4/2/1944 11:00
Los Alamos,,DISK,NM,6/1/1944 12:00
Ft. Duschene,,DISK,UT,6/30/1944 10:00
South Kingstown,,SPHERE,RI,7/1/1944 20:00
North Tampa,,CYLINDER,FL,7/15/1944 13:00
Ft. Lee,,CIGAR,VA,1/1/1945 12:00
Salinas AFB,,DISK,CA,6/1/1945 12:00
Jasper,,FIREBALL,FL,6/1/1945 13:30
Winston-Salem,,DISK,NC,6/7/1945 7:00
Portsmouth,RED,FORMATION,VA,7/10/1945 1:30
Dallas,,SPHERE,TX,7/15/1945 14:00
Huntington Beach,,DISK,CA,8/8/1945 12:00
San Antonio,,OVAL,NM,8/16/1945 11:30
Roswell,,SPHERE,NM,12/15/1945 2:00
New York City,,DISK,NY,1/8/1946 2:00
Merced,,SPHERE,CA,2/1/1946 17:00
Alice,,DISK,TX,3/15/1946 15:30
Blairsden,GREEN,SPHERE,CA,6/30/1946 19:00
Index,,FIREBALL,WA,6/30/1946 21:00
South Portland,,OVAL,ME,7/1/1946 13:30
Oak Lawn,,FORMATION,IL,9/12/1946 0:00
Dome,,FLASH,AZ,9/30/1946 20:30
Conroe,,OTHER,TX,1/10/1947 20:00
Syracuse,,DISK,NY,2/20/1947 22:15
Miami,,OTHER,FL,4/15/1947 14:00
San Deigo,,TRIANGLE,CA,4/15/1947 23:00
Minden,,,LA,6/1/1947 0:00
Cleveland,,LIGHT,OH,6/1/1947 2:30
Espanola,,CIRCLE,NM,6/1/1947 17:00
Oroville,,,CA,6/1/1947 18:00
Oakmont,,,PA,6/13/1947 20:18
Winona,,DISK,MN,6/15/1947 10:00
Gackle,,OTHER,ND,6/15/1947 14:00
Madison,,DISK,WI,6/15/1947 18:00
Hayward,,CIRCLE,CA,6/20/1947 12:00
Tacoma,,OTHER,WA,6/30/1947 0:00
Baltimore,,OVAL,MD,6/30/1947 18:00
Cashmere,,FORMATION,WA,7/1/1947 20:00
Maywood,,DISK,CA,7/1/1947 20:00
Wexford,BLUE,,PA,7/1/1947 20:00
Sioux Falls,,,SD,7/4/1947 0:00
Seattle,,OVAL,WA,7/4/1947 17:30
Dell Rapids,,,SD,7/5/1947 0:00
Philadelphia,,DISK,PA,7/5/1947 11:30
Roswell,,,NM,7/7/1947 0:00
Johnston City,,DISK,IL,7/9/1947 20:00
Roswell,,,NM,7/11/1947 0:00
Syracuse,,CIGAR,NY,7/14/1947 10:30
Richmond,,CIRCLE,CA,7/14/1947 11:00
Las Vegas,,DISK,NV,7/15/1947 10:00
Keeneyville,,FORMATION,IL,7/15/1947 12:00
Clintwood,,CYLINDER,VA,7/15/1947 15:00
Hazelton,,DISK,ID,7/15/1947 15:00
Minneapolis,,DISK,MN,7/15/1947 17:00
Morehouse,,CYLINDER,MO,7/15/1947 21:00
San Jose,BLUE,CHEVRON,CA,7/15/1947 21:00
Raton,,OVAL,NM,7/20/1947 22:00
Modesto,BLUE,DISK,CA,8/8/1947 22:00
Green Valley,,,WI,8/10/1947 20:00
Henrietta,,LIGHT,OK,8/12/1947 1:00
Saranac Lake,,DISK,NY,8/12/1947 22:00
Proctor,,CIGAR,OK,8/15/1947 20:15
Whitmore Lake,,CIGAR,MI,12/24/1947 21:00
Kelseyville,,DISK,CA,4/30/1948 12:00
Scipio,RED,SPHERE,IN,5/10/1948 19:00
Borger,,DISK,TX,6/15/1948 16:00
Baltimore,,OVAL,MD,6/30/1948 0:00
Jim Ridge,,,WV,6/30/1948 8:00
Ojai,,LIGHT,CA,7/15/1948 22:00
New York City,,CIRCLE,NY,8/1/1948 2:00
Conshohocken,,OVAL,PA,8/15/1948 12:00
Sharpsburg,,CIRCLE,MD,12/12/1948 23:30
Seattle,,DISK,WA,4/10/1949 15:00
Oak Ridge,,OTHER,WV,5/1/1949 14:00
Grays,,LIGHT,SC,5/15/1949 6:30
Los Angeles,,CIRCLE,CT,6/4/1949 10:00
Anchorage,,DISK,AK,6/10/1949 21:00
Knoxville,,OTHER,TN,6/30/1949 15:00
Salem,,CIGAR,OR,6/30/1949 21:00
Fairbanks,,DISK,AK,7/1/1949 11:00
Marion,,FORMATION,AL,7/1/1949 16:00
Booneville,,,MS,7/15/1949 20:30
Excelsior,,CIRCLE,MN,8/15/1949 0:00
Mill Valley,,LIGHT,CA,8/15/1949 21:00
Tarrant City,ORANGE,CIRCLE,AL,8/15/1949 22:00
Steilacoom,,DISK,WA,8/25/1949 19:00
Mt Gilead,,CIRCLE,OH,9/15/1949 21:00
Post,,DISK,TX,9/15/1949 21:00
San Marcos,,CYLINDER,TX,10/10/1949 20:30
Lackland AFB,,LIGHT,TX,10/10/1949 21:00
Baltimore,,CIGAR,MD,10/15/1949 20:00
Mount Hope,,,WV,1/1/1950 22:00
New York City,,OVAL,NY,1/2/1950 0:00
Roswell,RED,,NM,3/22/1950 0:00
Arkansas,,DISK,AR,4/15/1950 8:00
Waynesborough,,DISK,VA,4/15/1950 14:00
